	title	ref	typeBien	ville	price	surface	pieces	chambres	cuisine	garage	surface_terrain	nbSalleBain	balcon	terrace	jardin	classEnergy	gazEmission
0	Annonce : Vente Maison Sanguinet (40460) 116 m² (499 000 €) 992769111492	992769111492	Maison	Sanguinet	499000.0	116.0	5.0	0.0	Non	Oui	7702	1	Non	Non	Non	D	B
1	Annonce : Vente Maison Montroy (17220) 96 m² (337 600 €) 992769747084	992769747084	Maison	Montroy	337600.0	96.0	5.0	0.0	Oui	Oui	3892	1	Non	Non	Non	ND	ND
2	Annonce : Vente Maison Montreuil-aux-Lions (02310) 63 m² (113 000 €) 992769747083	992769747083	Maison	Montreuil	113000.0	63.0	3.0	0.0	Oui	Non	0	1	Non	Non	Non	C	A
3	Annonce : Vente Maison Château-Thierry (02400) 127 m² (262 000 €) 992769747080	992769747080	Maison	Chateau	262000.0	127.0	6.0	0.0	Oui	Oui	8202	1	Non	Non	Non	C	A
5	Annonce : Vente Maison Eysines (33320) 128 m² (543 400 €) 992769747081	992769747081	Maison	Eysines	543400.0	128.0	7.0	0.0	Oui	Oui	7152	1	Non	Non	Non	C	A
9	Annonce : Vente Maison Moissac (82200) 137 m² (299 000 €) 992769236302	992769236302	Maison	Moissac	299000.0	137.0	4.0	0.0	Non	Oui	155142	0	Non	Non	Non	E	B
11	Annonce : Vente Maison Saâcy-sur-Marne (77730) 115 m² (202 000 €) 992769747076	992769747076	Maison	Saacy	202000.0	115.0	5.0	0.0	Oui	Oui	0	1	Non	Non	Non	ND	ND
12	Annonce : Vente Maison Château-Thierry (02400) 100 m² (201 000 €) 992769747073	992769747073	Maison	Chateau	201000.0	100.0	5.0	0.0	Oui	Oui	1952	0	Non	Non	Non	D	B
13	Annonce : Vente Maison Nanterre (92000) 164 m² (940 000 €) 992769679780	992769679780	Maison	Nanterre	940000.0	164.0	6.0	0.0	Oui	Non	3902	0	Non	Non	Non	A	ND
14	Annonce : Vente Maison Nanterre (92000) 141 m² (799 000 €) 992769679783	992769679783	Maison	Nanterre	799000.0	141.0	5.0	0.0	Oui	Non	3902	0	Non	Non	Non	A	ND
17	Annonce : Vente Maison Saâcy-sur-Marne (77730) 140 m² (237 000 €) 992769747071	992769747071	Maison	Saacy	237000.0	140.0	6.0	0.0	Non	Oui	3602	2	Non	Non	Non	ND	ND
